Address,Price,Beds,URL
"1901 N Lincoln Ave, Urbana, IL 61801",$495 - $615,2-4 Beds,https://www.apartments.com/capstone-quarters-urbana-il/wxelksh/
"1032 Kerr Ave E, Urbana, IL 61802","$725 - $1,120",1-2 Beds,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"202 E Daniel St, Champaign, IL 61820","$899 - $1,695",1-4 Beds,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"519 E Green St, Champaign, IL 61820","$1,250 - $1,400",2-3 Beds,https://www.apartments.com/skyline-tower-champaign-il/910ywt6/
"51 E John St, Champaign, IL 61820",$895 - $980,2-4 Beds,https://www.apartments.com/maywood-apartments-champaign-il/jcvk767/
"112 E Green St, Champaign, IL 61820",$850 - $900,2 Beds,https://www.apartments.com/112-green-champaign-il/7yrs9vx/
"1205 E Florida Ave, Urbana, IL 61801",$899 - $949,2 Beds,https://www.apartments.com/parkside-pets-allowed-urbana-il/dlj34rj/
"1905 N Cunningham Ave, Urbana, IL 61802","$865 - $1,385",Studio - 2 Beds,https://www.apartments.com/eastland-apartments-llc-urbana-il/5y9mhqq/
"615 S Wright St, Champaign, IL 61820","$1,800 - $2,700",2-3 Beds,https://www.apartments.com/smile-student-living-615-s-wright-champaign-il/wlk1bpk/
"112 E Chalmers St, Champaign, IL 61820",$895 - $950,3-4 Beds,https://www.apartments.com/lancaster-apartments-champaign-il/7jkpfzy/
"28 E Green St, Champaign, IL 61820","$875 - $2,030",1-4 Beds,https://www.apartments.com/pacifica-on-green-champaign-il/qdf14jw/
"502 W Green St, Urbana, IL 61801",$500,4 Beds,https://www.apartments.com/campus-oaks-urbana-il/l1ydpfg/
"410 N Lincoln Ave, Urbana, IL 61801","$739 - $2,879",Studio - 4 Beds,https://www.apartments.com/yugo-urbana-illinois-urbana-il/5dhexwm/
"404 E Michigan Ave, Urbana, IL 61801","$750 - $1,075",1-3 Beds,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"1601 N Lincoln Ave, Urbana, IL 61801",$540 - $685,2-4 Beds,https://www.apartments.com/the-linc-urbana-il/3lf7bxf/
"1321 N Lincoln Ave, Urbana, IL 61801","$490 - $1,245",1-4 Beds,https://www.apartments.com/onyx-urbana-il/r66bf70/
"410 E Green St, Champaign, IL 61820","$950 - $1,000",3 Beds,https://www.apartments.com/skylight-court-champaign-il/pf0recs/
"509 E Green St, Champaign, IL 61820","$1,100",2 Beds,https://www.apartments.com/bankier-apartments-champaign-il/wb3k2dh/
"707 S 4th St, Champaign, IL 61820","$969 - $1,989",Studio - 4 Beds,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"11 E Columbia Ave, Champaign, IL 61820","$1,050 - $1,325",1-2 Beds,https://www.apartments.com/the-quarters-champaign-il/w7dm2dj/
"512 S Third St, Champaign, IL 61820","$669 - $3,039",2-4 Beds,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"200 S Vine St, Urbana, IL 61802","$1,495 - $1,795",2-3 Beds,https://www.apartments.com/200-vine-st-urbana-il/smjcy14/
"911 W Springfield Ave, Urbana, IL 61801","$725 - $1,125",1-4 Beds,https://www.apartments.com/bailey-student-apartments-urbana-il/dq87hfk/
"1306 N Lincoln Ave, Urbana, IL 61801",$425 - $445,1-4 Beds,https://www.apartments.com/the-atrium-urbana-il/lc5jbfe/
"1714 E Colorado Ave, Urbana, IL 61802","$975 - $1,475",1-3 Beds,https://www.apartments.com/stone-ridge-square-urbana-il/h5bz213/
"Champaign, IL 61820","$1,295 - $1,695",1-2 Beds,https://www.apartments.com/314-s-state-st-champaign-il/c74n4wf/
"405 E Stoughton St, Champaign, IL 61820","$1,220 - $2,880",Studio - 3 Beds,https://www.apartments.com/405-e-stoughton-st-champaign-il/0twzme1/
"1009 S 2nd St, Champaign, IL 61820","$600 - $1,320",2-4 Beds,https://www.apartments.com/1009-s-2nd-st-champaign-il/kf1ky79/
"203 S 3rd St, Champaign, IL 61820","$475 - $2,200",1-4 Beds,https://www.apartments.com/pfeffer-apartments-available-august-2024-champaign-il/7h106hw/
"1010 W University Ave, Urbana, IL 61801","$1,099 - $1,109",4 Beds,https://www.apartments.com/campus-circle-urbana-il/ss0vss7/
"Urbana, IL 61801","$1,360 - $1,695",1-2 Beds,https://www.apartments.com/707-w-springfield-ave-urbana-il/4tmjqqj/
"1606 Willow View Rd, Urbana, IL 61802","$875 - $1,490",2 Beds,https://www.apartments.com/willow-springs-urbana-il/ng7e5tq/
"1601 E Florida Ave, Urbana, IL 61802",$525 - $629,2-3 Beds,https://www.apartments.com/the-pointe-at-u-of-i-urbana-il/wgyx9eh/
"908 N Broadway Ave, Urbana, IL 61801",$775 - $895,1-2 Beds,https://www.apartments.com/university-park-urbana-il/gkps53x/
"907 E Harding Dr, Urbana, IL 61801","$975 - $1,100",2 Beds,https://www.apartments.com/windsor-duplexes-urbana-il/t5nzvr9/
"1557 S Hunter St, Urbana, IL 61802","$700 - $1,000",1-3 Beds,https://www.apartments.com/aspen-court-apartments-urbana-il/9wepsf7/
"502 W Main St, Urbana, IL 61801","$760 - $1,040",Studio - 3 Beds,https://www.apartments.com/element-on-main-urbana-il/lbjkd1f/
"2502 Prairie Green Dr, Urbana, IL 61802","$725 - $1,050",1-3 Beds,https://www.apartments.com/prairie-green-apartment-homes-urbana-il/v6xrr5e/
"Champaign, IL 61820","$1,395 - $1,695",1-2 Beds,https://www.apartments.com/305-w-clark-st-champaign-il/gtp0gpz/
"409 E Chalmers St, Champaign, IL 61820","$9,000 - $21,500",2-4 Beds,https://www.apartments.com/illini-tower-apartments-champaign-il/p97zg3t/
"310 E Springfield Ave, Champaign, IL 61820","$910 - $1,730",Studio - 3 Beds,https://www.apartments.com/burnham-310-champaign-il/5g3k2lm/
"708 S 6th St, Champaign, IL 61820","$1,025 - $1,950",Studio - 4 Beds,https://www.apartments.com/the-dean-campustown-champaign-il/lvrmgtd/
"Champaign, IL 61820","$1,325 - $1,425",1 Bed,https://www.apartments.com/301-w-university-ave-champaign-il/zl9q6xy/
"608 E University Ave, Champaign, IL 61820","$815 - $1,899",1-4 Beds,https://www.apartments.com/latitude-student-housing-champaign-il/vntmh0d/
"705 S 1st St, Champaign, IL 61820",$496 - $633,3-4 Beds,https://www.apartments.com/705-s-1st-st-champaign-il/ek8q17q/
"217 S Neil St, Champaign, IL 61820","$1,670 - $1,999",2 Beds,https://www.apartments.com/134-217-s-neil-champaign-il/1ss3km6/
"713-717 S Randolph St, Champaign, IL 61820",$800 - $850,2-3 Beds,https://www.apartments.com/the-courtyard-on-randolph-champaign-il/30gpbsd/
"303 W Green St, Champaign, IL 61820",$450 - $925,1-3 Beds,https://www.apartments.com/midtown-center-champaign-il/lkf778e/
"404 Edgebrook Dr, Champaign, IL 61820",$615 - $830,Studio - 2 Beds,https://www.apartments.com/windcrest-apartments-champaign-il/p8ggsts/
,,2 Beds,https://www.apartments.com/808-n-lincoln-ave-urbana-il/cxxdl5d/
,,2 Beds,https://www.apartments.com/813-w-main-urbana-il/shcy6h7/
,,1 Bed,https://www.apartments.com/211-n-central-urbana-il/y5w3vdt/
,,2-3 Beds,https://www.apartments.com/208-n-harvey-st-urbana-il/g0bttqw/
,,1-2 Beds,https://www.apartments.com/1003-w-stoughton-urbana-il/5jkv62m/
,,1 Bed,https://www.apartments.com/302-w-locust-st-urbana-il/x829c0m/
,,1-2 Beds,https://www.apartments.com/silver-st-philo-rd-fletcher-st-apts-urbana-il/36lkfye/
,,Studio - 4 Beds,https://www.apartments.com/705-w-elm-st-urbana-il/lhebzff/
,,Studio - 2 Beds,https://www.apartments.com/202ra-urbana-il/67mtsqv/
,,1-2 Beds,https://www.apartments.com/fairlawn-village-urbana-il/09kcqy1/
,,6 Beds,https://www.apartments.com/57-e-springfield-ave-champaign-il-champaign-il/4w09dxl/
,,1-2 Beds,https://www.apartments.com/1407-s-state-st-champaign-il/8j637m1/
,,1-2 Beds,https://www.apartments.com/520-neil-champaign-il/hbqtr63/
,,2 Beds,https://www.apartments.com/the-hickory-champaign-il/6tn785r/
,,1-2 Beds,https://www.apartments.com/the-neil-street-spritzer-champaign-il/xwp6xnp/
,,2 Beds,https://www.apartments.com/512-e-stoughton-st-champaign-il/p8xxnmt/
,,1 Bed,https://www.apartments.com/birch-street-apartments-champaign-il/ewn1zrp/
,,2 Beds,https://www.apartments.com/202-e-green-st-champaign-il/vn1k7tf/
,,4 Beds,https://www.apartments.com/1107-s-2nd-st-champaign-il/hm8yzs0/
,,1 Bed,https://www.apartments.com/214-e-clark-champaign-il/n2drf2q/
,,1-6 Beds,https://www.apartments.com/the-alcove-second-john-champaign-il/fv2vltr/
,,Studio - 2 Beds,https://www.apartments.com/the-inman-by-royse-brinkmeyer-champaign-il/r1klpj0/
,,Studio - 5 Beds,https://www.apartments.com/1008-s-4th-champaign-il/kwhk1y8/
"Champaign, IL 61820",,,https://www.apartments.com/1104-s-state-st-champaign-il/sgwy457/
"Champaign, IL 61820",,,https://www.apartments.com/1104-s-state-st-champaign-il/zj8g4zz/
"Urbana, IL 61801",,,https://www.apartments.com/1003-w-clark-st-urbana-il/dng1eeh/
"Urbana, IL 61802",,,https://www.apartments.com/1911-easy-st-urbana-il/svds2e4/
"Urbana, IL 61801",,,https://www.apartments.com/705-w-california-ave-urbana-il/zwxfd9y/
"Urbana, IL 61801",,,https://www.apartments.com/707-w-california-ave-urbana-il/38qkh0e/
"Urbana, IL 61801",,,https://www.apartments.com/711-s-lynn-st-urbana-il/6c2jxxr/
"Urbana, IL 61801",,,https://www.apartments.com/206-w-florida-ave-urbana-il/nspwp0m/
"Urbana, IL 61802",,,https://www.apartments.com/1502-greenridge-dr-urbana-il/lrplmyg/
"Urbana, IL 61802",,,https://www.apartments.com/2610-e-illinois-st-urbana-il/896mmw3/
"Champaign, IL 61820",,,https://www.apartments.com/604-n-randolph-st-champaign-il/6ncvhft/
"Champaign, IL 61820",,,https://www.apartments.com/605-n-walnut-st-champaign-il/gk0x6pz/
"Champaign, IL 61820",,,https://www.apartments.com/801-n-randolph-st-champaign-il/n71wf7p/
"Champaign, IL 61820",,,https://www.apartments.com/302-w-washington-st-champaign-il/bl7p4qc/
"Champaign, IL 61820",,,https://www.apartments.com/306-w-maple-st-champaign-il/c28rktf/
,,,https://www.apartments.com/211-w-illinois-st-urbana-il/e1ssm8p/
,,,https://www.apartments.com/606-w-elm-st-urbana-il/jrqgcs6/
,,,https://www.apartments.com/1805-pleasant-st-urbana-il/edjhtvp/
,,,https://www.apartments.com/2403-sharlyn-drive-urbana-il/5w1266q/
,,,https://www.apartments.com/1004-s-lincoln-ave-urbana-il-unit-1/qkcx5hw/
,,,https://www.apartments.com/405-w-oregon-st-urbana-il/fq1vb8s/
,,,https://www.apartments.com/104-s-grove-st-urbana-il-unit-9/x9ye7gp/
,,,https://www.apartments.com/709-w-illinois-st-urbana-il/fp8rger/
,,,https://www.apartments.com/504-dodson-dr-w-urbana-il/qgxcvcx/
,,,https://www.apartments.com/2102-pond-st-urbana-il/ydhyejv/
,,,https://www.apartments.com/305-w-oregon-st-urbana-il/ss0mr34/
,,,https://www.apartments.com/307-w-oregon-st-urbana-il/bx61868/
,,,https://www.apartments.com/504-dodson-dr-e-urbana-il/k2m3859/
,,,https://www.apartments.com/2013-e-michigan-ave-urbana-il/1yzq3h5/
,,,https://www.apartments.com/1504-lincolnwood-dr-urbana-il/jcv8417/
,,,https://www.apartments.com/1310-s-cottage-grove-ave-urbana-il/8gtgzg3/
,,,https://www.apartments.com/1404-n-broadway-ave-urbana-il/3xys88f/
,,,https://www.apartments.com/1910-country-squire-dr-urbana-il/ldx4m1d/
,,,https://www.apartments.com/112-brady-ln-urbana-il/fw95y2t/
,,,https://www.apartments.com/309-s-coler-ave-urbana-il/wlemymk/
,,,https://www.apartments.com/113-w-mchenry-st-urbana-il/jw3tyy5/
,,,https://www.apartments.com/1903-e-florida-ave-urbana-il/tgerv88/
,,,https://www.apartments.com/603-scottswood-dr-urbana-il/bt37bnb/
,,,https://www.apartments.com/202-s-lynn-st-urbana-il/pt3gbxt/
,,,https://www.apartments.com/611-w-california-ave-urbana-il/sszgwn4/
,,,https://www.apartments.com/1208-ogelthorpe-ave-urbana-il/jb6v1c4/
,,,https://www.apartments.com/1009-s-cottage-grove-ave-urbana-il/ljxqsxf/
,,,https://www.apartments.com/105-n-coler-ave-urbana-il/8f8x4z2/
,,,https://www.apartments.com/805-e-scovill-st-urbana-il/897r700/
,,,https://www.apartments.com/1702-golfview-dr-urbana-il/47c75ck/
,,,https://www.apartments.com/206-w-florida-ave-urbana-il/56qqf9m/
,,,https://www.apartments.com/3201-fawn-hill-ct-urbana-il/k4cm6v9/
,,,https://www.apartments.com/112-scottswood-dr-urbana-il/qqefmmy/
,,,https://www.apartments.com/607-s-cottage-grove-ave-urbana-il/gspfeny/
,,,https://www.apartments.com/411-w-california-ave-urbana-il/949jty4/
,,,https://www.apartments.com/711-s-cottage-grove-ave-urbana-il/hyd1t41/
,,,https://www.apartments.com/803-e-harding-dr-urbana-il/es45k5p/
,,,https://www.apartments.com/105-crystal-lake-dr-urbana-il/7hnvr0z/
,,,https://www.apartments.com/2102-burlison-dr-urbana-il/9m3kkc6/
,,,https://www.apartments.com/904-n-broadway-ave-urbana-il/fdq20qv/
,,,https://www.apartments.com/610-w-elm-st-urbana-il/sk5zzj5/
,,,https://www.apartments.com/210-e-park-st-champaign-il/mhve9qh/
,,,https://www.apartments.com/203-hessel-blvd-champaign-il/ysn7ffv/
,,,https://www.apartments.com/808-s-randolph-st-champaign-il/1rl6ps6/
,,,https://www.apartments.com/709-s-state-st-champaign-il/b167nn8/
,,,https://www.apartments.com/406-e-park-st-champaign-il/lb6w4gf/
,,,https://www.apartments.com/207-e-clark-st-champaign-il/tnj28j8/
,,,https://www.apartments.com/510-e-daniel-st-champaign-il/0r5n792/
,,,https://www.apartments.com/309-fairview-dr-champaign-il/309hrjg/
,,,https://www.apartments.com/209-w-ells-ave-champaign-il/c43d9nd/
