,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
3,23-001291,05/15/2023,2023,5,900 Block,East University Avenue,05/15/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,202.5,"900 East University Avenue
Urbana, IL
(40.116384495, -88.19727158)",40.116384495,-88.19727158
4,23-001177,05/09/2023,2023,5,1 Block,Penn Court,05/09/2023,Weeds/Grass,Voluntarily Complied,05/17/2023,Phone,False,0.0,"1 Penn Court
Urbana, IL
(40.100998981, -88.197151994)",40.100998981,-88.197151994
5,23-000604,03/16/2023,2023,3,100 Block,South Lynn Street,03/16/2023,Municipal Waste,Voluntarily Complied,03/24/2023,Phone,False,0.0,"100 South Lynn Street
Urbana, IL
(40.112923065, -88.197764581)",40.112923065,-88.197764581
9,21-002456,10/18/2021,2021,10,2000 Block,South Philo Road,10/18/2021,Municipal Waste,Voluntarily Complied,01/04/2022,Phone,False,0.0,"2000 South Philo Road
Urbana, IL
(40.093804007, -88.19057341)",40.093804007,-88.19057341
10,21-002348,10/04/2021,2021,10,2300 Block,East Rainbow View,10/04/2021,Municipal Waste,Voluntarily Complied,10/12/2021,Phone,False,0.0,"2300 East Rainbow View
Urbana, IL
(40.104067308, -88.177246815)",40.104067308,-88.177246815
11,21-001049,05/20/2021,2021,5,1900 Block,East Galena Street,05/20/2021,Weeds/Grass,City Abated,09/28/2021,Phone,False,382.5,"1900 East Galena Street
Urbana, IL
(40.081397412, -88.183472716)",40.081397412,-88.183472716
12,20-002042,10/08/2020,2020,10,800 Block,West Church Street,10/08/2020,Municipal Waste,Voluntarily Complied,10/16/2020,Phone,False,0.0,"800 West Church Street
Urbana, IL
(40.118376383, -88.217046118)",40.118376383,-88.217046118
13,19-001999,09/17/2019,2019,9,300 Block,West Illinois Street,09/17/2019,Municipal Waste,City Abated,09/30/2019,Phone,False,730.0,"300 West Illinois Street
Urbana, IL
(40.109370994, -88.210472012)",40.109370994,-88.210472012
14,1010013,10/07/2010,2010,10,1100 BLOCK,S Lanore Dr,10/08/2010,Weeds/Grass,City Abated,10/16/2010,Not Available,False,0.0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
18,906017,06/03/2009,2009,6,800 BLOCK,W Iowa St,06/04/2009,Municipal Waste,Owner Abated,06/12/2009,Not Available,False,0.0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)",40.104716333,-88.21770612
21,707045,07/23/2007,2007,7,400 BLOCK,N Race St,07/24/2007,Weeds/Grass,City Abated,08/01/2007,Not Available,False,0.0,"400 N Race St
Urbana, IL
(40.115028401, -88.208906615)",40.115028401,-88.208906615
23,21-000899,05/06/2021,2021,5,700 Block,South Race Street,05/06/2021,Weeds/Grass,Voluntarily Complied,05/19/2021,Phone,False,0.0,"700 South Race Street
Urbana, IL
(40.107554045, -88.20875337)",40.107554045,-88.20875337
24,810047,10/29/2008,2008,10,300 BLOCK,E Kerr Av,10/30/2008,Weeds/Grass,Owner Abated,11/07/2008,Not Available,False,0.0,"300 E Kerr Av
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
26,23-000032,01/06/2023,2023,1,1100 Block,North Division Avenue,01/06/2023,Municipal Waste,Voluntarily Complied,04/12/2023,Phone,False,0.0,"1100 North Division Avenue
Urbana, IL
(40.122894299, -88.205240182)",40.122894299,-88.205240182
27,23-003446,11/16/2023,2023,11,1600 Block,South Wiley Drive,11/16/2023,Municipal Waste,Voluntarily Complied,11/27/2023,Phone,False,0.0,"1600 South Wiley Drive
Urbana, IL
(40.099133239, -88.197804367)",40.099133239,-88.197804367
29,1408074,08/20/2014,2014,8,1000 BLOCK,N Goodwin Av,08/20/2014,Weeds/Grass,City Abated,08/28/2014,Not Available,False,0.0,"1000 N Goodwin Av
Urbana, IL
(40.121318263, -88.224066307)",40.121318263,-88.224066307
30,1309010,09/06/2013,2013,9,700 BLOCK,W Nevada St,09/06/2013,Municipal Waste,Owner Abated,09/14/2013,Not Available,False,0.0,"700 W Nevada St
Urbana, IL
(40.106576405, -88.216066063)",40.106576405,-88.216066063
