Address,Price,Beds,Source,URL
"1901 N Lincoln Ave, Urbana, IL 61801",$615,2 beds,apartments.com,https://www.apartments.com/capstone-quarters-urbana-il/wxelksh/
"1901 N Lincoln Ave, Urbana, IL 61801",$565,3 beds,apartments.com,https://www.apartments.com/capstone-quarters-urbana-il/wxelksh/
"1901 N Lincoln Ave, Urbana, IL 61801",$495,4 beds,apartments.com,https://www.apartments.com/capstone-quarters-urbana-il/wxelksh/
"1032 Kerr Ave E, Urbana, IL 61802",$745,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$795,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$805,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$815,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$845,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$865,1 bed,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$915,2 beds,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"1032 Kerr Ave E, Urbana, IL 61802",$975,2 beds,apartments.com,https://www.apartments.com/town-and-country-urbana-il/g2zhk4y/
"202 E Daniel St, Champaign, IL 61820","$1,659",1 bed,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820","$1,695",1 bed,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820","$1,269",2 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820","$1,279",2 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820","$1,289",2 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820",$899,4 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820",$959,4 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
"202 E Daniel St, Champaign, IL 61820",$999,4 beds,apartments.com,https://www.apartments.com/legacy202-luxury-student-housing-champaign-il/bct4hpc/
