,Address,Price,Beds,Source
0,"1901 N Lincoln Ave, Urbana, IL 61801",615,2bd,apartments.com
1,"1901 N Lincoln Ave, Urbana, IL 61801",565,3bd,apartments.com
2,"1901 N Lincoln Ave, Urbana, IL 61801",495,4bd,apartments.com
3,"1032 Kerr Ave E, Urbana, IL 61802",745,1bd,apartments.com
4,"1032 Kerr Ave E, Urbana, IL 61802",795,1bd,apartments.com
5,"1032 Kerr Ave E, Urbana, IL 61802",805,1bd,apartments.com
6,"1032 Kerr Ave E, Urbana, IL 61802",815,1bd,apartments.com
7,"1032 Kerr Ave E, Urbana, IL 61802",845,1bd,apartments.com
8,"1032 Kerr Ave E, Urbana, IL 61802",865,1bd,apartments.com
9,"1032 Kerr Ave E, Urbana, IL 61802",915,2bd,apartments.com
10,"1032 Kerr Ave E, Urbana, IL 61802",975,2bd,apartments.com
11,"202 E Daniel St, Champaign, IL 61820",1659,1bd,apartments.com
12,"202 E Daniel St, Champaign, IL 61820",1695,1bd,apartments.com
13,"202 E Daniel St, Champaign, IL 61820",1269,2bd,apartments.com
14,"202 E Daniel St, Champaign, IL 61820",1279,2bd,apartments.com
15,"202 E Daniel St, Champaign, IL 61820",1289,2bd,apartments.com
16,"202 E Daniel St, Champaign, IL 61820",899,4bd,apartments.com
17,"202 E Daniel St, Champaign, IL 61820",959,4bd,apartments.com
18,"202 E Daniel St, Champaign, IL 61820",999,4bd,apartments.com
19,"519 E Green St, Champaign, IL 61820",1250,2bd,apartments.com
20,"519 E Green St, Champaign, IL 61820",1400,3bd,apartments.com
21,"51 E John St, Champaign, IL 61820",980,2bd,apartments.com
22,"51 E John St, Champaign, IL 61820",895,4bd,apartments.com
23,"112 E Green St, Champaign, IL 61820",850,2bd,apartments.com
24,"112 E Green St, Champaign, IL 61820",900,2bd,apartments.com
25,"1205 E Florida Ave, Urbana, IL 61801",899,2bd,apartments.com
26,"1205 E Florida Ave, Urbana, IL 61801",949,2bd,apartments.com
27,"1905 N Cunningham Ave, Urbana, IL 61802",865,Studio,apartments.com
28,"1905 N Cunningham Ave, Urbana, IL 61802",1145,1bd,apartments.com
29,"1905 N Cunningham Ave, Urbana, IL 61802",1295,2bd,apartments.com
30,"1905 N Cunningham Ave, Urbana, IL 61802",1385,2bd,apartments.com
31,"615 S Wright St, Champaign, IL 61820",1800,2bd,apartments.com
32,"615 S Wright St, Champaign, IL 61820",1850,2bd,apartments.com
33,"615 S Wright St, Champaign, IL 61820",2650,3bd,apartments.com
34,"615 S Wright St, Champaign, IL 61820",2700,3bd,apartments.com
35,"112 E Chalmers St, Champaign, IL 61820",950,3bd,apartments.com
