File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
24-000347,02/15/2024,2024,2,700 Block,South Walnut Street,02/15/2024,,,,Internet,true,0,"700 South Walnut Street
Urbana, IL
(40.107573103, -88.206104531)"
23-002622,09/05/2023,2023,9,500 Block,Shuman Circle,09/05/2023,Weeds/Grass,,,Phone,false,0,"500 Shuman Circle
Urbana, IL
(40.092894092, -88.202297862)"
23-002242,08/02/2023,2023,8,4000 Block,South Vine Street,,,,,,false,0,"4000 South Vine Street
Urbana, IL
(40.074440013, -88.200413648)"
23-001291,05/15/2023,2023,5,900 Block,East University Avenue,05/15/2023,Weeds/Grass,City Abated,08/30/2023,Phone,false,202.5,"900 East University Avenue
Urbana, IL
(40.116384495, -88.19727158)"
23-001177,05/09/2023,2023,5,1 Block,Penn Court,05/09/2023,Weeds/Grass,Voluntarily Complied,05/17/2023,Phone,false,0,"1 Penn Court
Urbana, IL
(40.100998981, -88.197151994)"
23-000604,03/16/2023,2023,3,100 Block,South Lynn Street,03/16/2023,Municipal Waste,Voluntarily Complied,03/24/2023,Phone,false,0,"100 South Lynn Street
Urbana, IL
(40.112923065, -88.197764581)"
22-000737,04/07/2022,2022,4,4000 Block,South Vine Street,,,,,,false,0,"4000 South Vine Street
Urbana, IL
(40.074440013, -88.200413648)"
22-000276,02/12/2022,2022,2,800 Block,West Green Street,,,City Abated,02/15/2022,Internet,true,0,"800 West Green Street
Urbana, IL
(40.110674859, -88.217817909)"
21-002688,11/13/2021,2021,11,700 Block,West California Avenue,,,City Abated,11/15/2021,Internet,true,0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)"
21-002456,10/18/2021,2021,10,2000 Block,South Philo Road,10/18/2021,Municipal Waste,Voluntarily Complied,01/04/2022,Phone,false,0,"2000 South Philo Road
Urbana, IL
(40.093804007, -88.19057341)"
21-002348,10/04/2021,2021,10,2300 Block,East Rainbow View,10/04/2021,Municipal Waste,Voluntarily Complied,10/12/2021,Phone,false,0,"2300 East Rainbow View
Urbana, IL
(40.104067308, -88.177246815)"
21-001049,05/20/2021,2021,5,1900 Block,East Galena Street,05/20/2021,Weeds/Grass,City Abated,09/28/2021,Phone,false,382.5,"1900 East Galena Street
Urbana, IL
(40.081397412, -88.183472716)"
20-002042,10/08/2020,2020,10,800 Block,West Church Street,10/08/2020,Municipal Waste,Voluntarily Complied,10/16/2020,Phone,false,0,"800 West Church Street
Urbana, IL
(40.118376383, -88.217046118)"
19-001999,09/17/2019,2019,9,300 Block,West Illinois Street,09/17/2019,Municipal Waste,City Abated,09/30/2019,Phone,false,730,"300 West Illinois Street
Urbana, IL
(40.109370994, -88.210472012)"
1010013,10/07/2010,2010,10,1100 BLOCK,S Lanore Dr,10/08/2010,Weeds/Grass,City Abated,10/16/2010,Not Available,false,0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)"
