Address,Price,Beds,Source
"Parkside Apartments, Urbana, IL 61801",899-949,2bd,Trulia
"The Urban Haven Apartments, Urbana, IL 61801",840,1bd,Trulia
"Aspen Court, Urbana, IL 61802",398-535,1-3bd,Trulia
"705 W  Nevada St   #2, Urbana, IL 61801",835,1bd,Trulia
"3017 Rutherford Dr, Urbana, IL 61802",2500,2bd,Trulia
"204 N  Lincoln Ave, Urbana, IL 61801",1675,4bd,Trulia
"804 N  Lincoln Ave, Urbana, IL 61801",1395,3bd,Trulia
"101 W Park St - 102, Urbana, IL 61801",835,2bd,Trulia
"206 S Grove St - 22, Urbana, IL 61802",895,2bd,Trulia
"315 N  Orchard St, Urbana, IL 61801",800,1bd,Trulia
"1202 E  Main St #1/2, Urbana, IL 61802",700,1bd,Trulia
"711 S  Cottage Grove Ave, Urbana, IL 61802",1250,2bd,Trulia
"1310 S  Cottage Grove Ave, Urbana, IL 61801",1350,3bd,Trulia
"1410 Briarcliff Dr, Urbana, IL 61801",1195,3bd,Trulia
"211 N Central Ave - 1, Urbana, IL 61801",835,1bd,Trulia
"805 Scovill St, Urbana, IL 61801",1700,3bd,Trulia
"113 W  McHenry St #2, Urbana, IL 61801",620,Studio,Trulia
"710 N  Lincoln Ave, Urbana, IL 61801",1195,2bd,Trulia
"809 E  Park St #A, Urbana, IL 61802",1295,4bd,Trulia
"707 W Springfield Ave - 115, Urbana, IL 61801",1360-1675,1-2bd,Trulia
"2013 E  Michigan Ave, Urbana, IL 61802",1500,3bd,Trulia
"908 W  Stoughton St, Urbana, IL 61801",1590,2bd,Trulia
"1003 W  Stoughton St   #3, Urbana, IL 61801",1050,2bd,Trulia
"206 W  Florida Ave, Urbana, IL 61801",3000,4bd,Trulia
"804 Springfield Ave, Urbana, IL 61801",3000,8bd,Trulia
"1306 Silver St, Urbana, IL 61801",725,2bd,Trulia
"605 W  High St, Urbana, IL 61801",2330,5bd,Trulia
"809 S  Busey Ave, Urbana, IL 61801",4000,9bd,Trulia
"1008 S  Busey Ave  #6, Urbana, IL 61801",550,Studio,Trulia
"302 W  Locust St   #2, Urbana, IL 61801",685,1bd,Trulia
"1004 Springfield Ave, Urbana, IL 61801",750,1bd,Trulia
"1203 1/2 Coler St, Urbana, IL 61801",795,2bd,Trulia
"901 Springfield Ave, Urbana, IL 61801",925,2bd,Trulia
"1007 W  Main St   #304, Urbana, IL 61801",1320,1bd,Trulia
"307 W  Elm St   #1, Urbana, IL 61801",710,1bd,Trulia
"210 N  Central Ave  #2, Urbana, IL 61801",940,1bd,Trulia
"401 W  Elm St   #1, Urbana, IL 61801",4200,9bd,Trulia
"709 W  Nevada St   #2, Urbana, IL 61801",1200,2bd,Trulia
"1004 W  Main St, Urbana, IL 61801",1590,2bd,Trulia
"702 West Green Street - 3, Urbana, IL 61801",1395-1495,3bd,Trulia
"202 S Lincoln Ave - 3, Urbana, IL 61801",850-950,1-2bd,Trulia
"208 N Harvey St - 2, Urbana, IL 61801",1295-1675,2-3bd,Trulia
"806 W  Stoughton St, Urbana, IL 61801",695,1bd,Trulia
"610 West Elm Street - 5, Urbana, IL 61801",895-1395,1-3bd,Trulia
"905 W Springfield Ave - 5, Urbana, IL 61801",1295-1675,2-3bd,Trulia
"707 West Elm Street - 4, Urbana, IL 61801",1050-1395,3-4bd,Trulia
"401 S  Busey Ave  #A, Urbana, IL 61801",1695,3bd,Trulia
"410 W Green St - 3, Urbana, IL 61801",775-895,Studio-1bd,Trulia
"115 W  Washington St   #2, Urbana, IL 61801",795,1bd,Trulia
"612 W  Elm St, Urbana, IL 61801",1795,4bd,Trulia
"606 W  Elm St   #1, Urbana, IL 61801",1295,4bd,Trulia
"813 W  Main St   #2, Urbana, IL 61801",995,2bd,Trulia
"705 W  Elm St   #1, Urbana, IL 61801",950,2bd,Trulia
"404 S  Urbana Ave  #101, Urbana, IL 61801",815,2bd,Trulia
"503 W  Green St   #3, Urbana, IL 61801",795,Studio,Trulia
"808 N  Lincoln Ave  #3, Urbana, IL 61801",995,2bd,Trulia
"1905 N  Lincoln Ave #122, Urbana, IL 61801",1725,3bd,Trulia
"404 E  Green St   #204, Urbana, IL 61802",895,2bd,Trulia
"709 W  Illinois St   #2, Urbana, IL 61801",2400,4bd,Trulia
"104 S  Grove St   #2, Urbana, IL 61802",890,1bd,Trulia
"1003 W  Clark St   #Furnished, Urbana, IL 61801",930,1bd,Trulia
"701 W  Indiana Ave #1, Urbana, IL 61801",1100,2bd,Trulia
"2610 E  Illinois St, Urbana, IL 61802",1400,3bd,Trulia
"104 S  Grove St, Urbana, IL 61802",760,1bd,Trulia
"1103 S  Kinch St, Urbana, IL 61802",1950,3bd,Trulia
"2309 Rainbow Vw, Urbana, IL 61802",1700,3bd,Trulia
"205 W  Park St, Urbana, IL 61801",2500,4bd,Trulia
"211 W  Illinois St   #1, Urbana, IL 61801",760,1bd,Trulia
"1903 E  Florida Ave, Urbana, IL 61802",1450,3bd,Trulia
"402 S  Grove St, Urbana, IL 61801",1200,2bd,Trulia
"2405 Whitson Cir  #B, Urbana, IL 61801",1450,3bd,Trulia
"711 S  Lynn St, Urbana, IL 61801",1250,2bd,Trulia
"606 S  Broadway Ave  #1, Urbana, IL 61801",2100,6bd,Trulia
"2643 Muirfield Pl, Urbana, IL 61802",5000,3bd,Trulia
"704 W  Western Ave  #1, Urbana, IL 61801",1175,2bd,Trulia
"Crestview Apartments, Urbana, IL 61801",950-1100,2-3bd,Trulia
"707 E  Green St, Urbana, IL 61802",2000,6bd,Trulia
"214 W  Vermont Ave, Urbana, IL 61801",1850,3bd,Trulia
"606 E  Elm St   #3, Urbana, IL 61802",815,1bd,Trulia
"601 W  Nevada St, Urbana, IL 61801",2100,3bd,Trulia
