,Address,Price,Beds,Source,lat,long
0,"Parkside Apartments, Urbana, IL 61801",899-949,2bd,Trulia,40.097371499999994,-88.19338670046842
3,"705 W  Nevada St, Urbana, IL 61801",835,1bd,Trulia,40.106685999999996,-88.2179185
4,"3017 Rutherford Dr, Urbana, IL 61802",2500,2bd,Trulia,40.1151334392785,-88.16350836537958
5,"204 N  Lincoln Ave, Urbana, IL 61801",1675,4bd,Trulia,40.11370722750394,-88.21924285948316
6,"804 N  Lincoln Ave, Urbana, IL 61801",1395,3bd,Trulia,40.1193126122449,-88.21931728571428
7,"101 W Park St, Urbana, IL 61801",835,2bd,Trulia,40.117167,-88.207736
8,"206 S Grove St, Urbana, IL 61802",895,2bd,Trulia,40.111177749999996,-88.20107279999999
9,"315 N  Orchard St, Urbana, IL 61801",800,1bd,Trulia,40.11515526666666,-88.21461515555555
10,"1202 E  Main St, Urbana, IL 61802",700,1bd,Trulia,40.11303059574468,-88.19401293617021
11,"711 S  Cottage Grove Ave, Urbana, IL 61802",1250,2bd,Trulia,40.106711000000004,-88.1959755
12,"1310 S  Cottage Grove Ave, Urbana, IL 61801",1350,3bd,Trulia,40.10147331111111,-88.19549977777777
13,"1410 Briarcliff Dr, Urbana, IL 61801",1195,3bd,Trulia,40.1001744101464,-88.19196245965568
14,"211 N Central Ave, Urbana, IL 61801",835,1bd,Trulia,40.11375842857143,-88.2115669387755
15,"805 Scovill St, Urbana, IL 61801",1700,3bd,Trulia,40.08534597986577,-88.1983807114094
16,"113 W  McHenry St, Urbana, IL 61801",620,Studio,Trulia,40.08685473333333,-88.20847248888889
17,"710 N  Lincoln Ave, Urbana, IL 61801",1195,2bd,Trulia,40.118443469387756,-88.21928904081632
18,"809 E  Park St, Urbana, IL 61802",1295,4bd,Trulia,40.11712081632653,-88.1986845510204
19,"707 W Springfield Ave, Urbana, IL 61801",1360-1675,1-2bd,Trulia,40.1125953,-88.2169613
20,"2013 E  Michigan Ave, Urbana, IL 61802",1500,3bd,Trulia,40.101662174240566,-88.18283361622831
21,"908 W  Stoughton St, Urbana, IL 61801",1590,2bd,Trulia,40.1137729,-88.2201721
22,"1003 W  Stoughton St, Urbana, IL 61801",1050,2bd,Trulia,40.11336285,-88.22111634999999
23,"206 W  Florida Ave, Urbana, IL 61801",3000,4bd,Trulia,40.0984745,-88.21022754701747
24,"804 Springfield Ave, Urbana, IL 61801",3000,8bd,Trulia,40.112887152909636,-88.21796642860745
25,"1306 Silver St, Urbana, IL 61801",725,2bd,Trulia,40.091706,-88.192159
26,"605 W  High St, Urbana, IL 61801",2330,5bd,Trulia,40.10972881778397,-88.21474728724817
27,"809 S  Busey Ave, Urbana, IL 61801",4000,9bd,Trulia,40.10630028598254,-88.21777332101156
28,"1008 S  Busey Ave, Urbana, IL 61801",550,Studio,Trulia,40.10443528571429,-88.2175409387755
